,precision,recall,f1-score,support
Flop,0.0,0.0,0.0,8.0
Average,0.6982758620689655,0.5724381625441696,0.629126213592233,283.0
Hit,0.8404118404118404,0.9094707520891365,0.8735785953177257,718.0
accuracy,0.8077304261645193,0.8077304261645193,0.8077304261645193,0.8077304261645193
macro avg,0.5128959008269353,0.49396963821110207,0.5009016029699862,1009.0
weighted avg,0.7938828249566091,0.8077304261645193,0.7980893457727741,1009.0
