feature,importance
cat__genres_Adventure|Animation|Comedy|Family,0.00012768731991787287
cat__actor_1_name_Denzel Washington,0.00012598665695635726
cat__actor_2_name_Jason Flemyng,0.00012386784395066966
cat__actor_1_name_Milla Jovovich,0.00012197321130914101
cat__actor_1_name_Gerard Butler,0.00012181498895751507
cat__genres_Action|Horror|Thriller,0.0001195505141151574
cat__genres_Drama|Sport,0.0001189206966888656
cat__actor_1_name_Jon Favreau,0.00011819352643554693
cat__director_name_Louis Leterrier,0.00011747427318871482
cat__actor_1_name_Ryan Reynolds,0.00011694754764867378
cat__genres_Action|Adventure|Comedy,0.00011556942460322487
cat__genres_Adventure|Family|Fantasy,0.00011352437339961186
cat__genres_Horror|Sci-Fi|Thriller,0.00011323802873581778
cat__genres_Thriller,0.00011279682321164376
cat__actor_1_name_Robert Downey Jr.,0.00011169363405300067
cat__genres_Drama|Horror|Thriller,0.0001106984982283981
cat__actor_1_name_Chloë Grace Moretz,0.00010971180859479955
cat__genres_Action|Sci-Fi|Thriller,0.00010920661133405033
cat__director_name_Shawn Levy,0.00010787047996532769
cat__genres_Drama|Sci-Fi|Thriller,0.00010714721705828315
cat__actor_1_name_Matt Damon,0.00010645607019283058
cat__genres_Biography|Drama,0.00010470958649734604
cat__actor_1_name_Bill Murray,0.00010379992096540274
cat__country_Mexico,0.00010300013208194388
cat__director_name_Bill Condon,0.00010183239806960187
cat__genres_Biography|Drama|History,0.00010176846918763002
cat__country_Japan,0.00010116243037812672
cat__genres_Action|Drama|Thriller,0.00010052274772953202
cat__actor_1_name_Jim Broadbent,9.750258922646116e-05
cat__actor_1_name_Nicolas Cage,9.640941064584421e-05
cat__director_name_M. Night Shyamalan,9.38592169644313e-05
cat__actor_1_name_Michael Jai White,9.240186178942176e-05
cat__genres_Biography|Drama|Sport,8.849014494402117e-05
cat__actor_1_name_Morgan Freeman,8.427989795633441e-05
cat__actor_1_name_Paul Walker,8.371643439597826e-05
cat__actor_2_name_Judy Greer,8.359608875863693e-05
cat__director_name_David Zucker,8.338859619891659e-05
cat__director_name_Wes Craven,8.333813458108885e-05
cat__content_rating_X,8.184113067339645e-05
cat__actor_2_name_Eddie Griffin,8.097042319941341e-05
cat__actor_1_name_Channing Tatum,8.083859016199676e-05
cat__genres_Comedy|Sci-Fi,8.055462099729561e-05
cat__actor_1_name_Dwayne Johnson,8.051995715643525e-05
cat__actor_2_name_Adam Sandler,7.898256301690618e-05
cat__actor_1_name_Gary Oldman,7.86335112655924e-05
cat__director_name_Joel Schumacher,7.785159034684472e-05
cat__director_name_John Whitesell,7.784876044115506e-05
cat__main_genre_Western,7.776772388177856e-05
cat__genres_Comedy|Fantasy|Romance,7.771197621129384e-05
cat__content_rating_TV-PG,7.548536864593022e-05
cat__genres_Action|Comedy,7.52194329633276e-05
cat__actor_1_name_Anthony Hopkins,7.307465873364287e-05
cat__actor_1_name_Jason Statham,7.22485842224423e-05
cat__director_name_Joe Wright,7.110909555205841e-05
cat__genres_Action|Crime|Drama|Mystery|Thriller,7.062238897031871e-05
cat__country_Russia,7.006048943321153e-05
cat__director_name_Jaume Collet-Serra,6.999914495797721e-05
cat__actor_1_name_Dennis Quaid,6.991282665927977e-05
cat__director_name_Peter Hyams,6.947101824960625e-05
cat__genres_Crime|Drama|Romance|Thriller,6.921110365819059e-05
cat__actor_1_name_Will Smith,6.815763795577403e-05
cat__actor_1_name_Naomi Watts,6.801412085205611e-05
cat__genres_Fantasy|Horror|Thriller,6.773712496185333e-05
cat__actor_1_name_Roddy McDowall,6.690680173260466e-05
cat__genres_Action|Comedy|Sci-Fi,6.633573191264049e-05
cat__genres_Drama|Horror|Sci-Fi|Thriller,6.506815801053399e-05
cat__country_Hong Kong,6.485515170705024e-05
cat__language_Japanese,6.364880167048578e-05
cat__director_name_Donald Petrie,6.344148468671597e-05
cat__genres_Crime|Mystery|Thriller,6.32694792596512e-05
cat__actor_1_name_James Franco,6.190922574842388e-05
cat__genres_Drama|Music,6.064791122597715e-05
cat__director_name_David Ayer,6.062916360477817e-05
cat__actor_1_name_Kristen Stewart,5.936196755195124e-05
cat__actor_1_name_Will Ferrell,5.926710914503767e-05
cat__director_name_Brett Ratner,5.9171176763301865e-05
cat__genres_Comedy|Crime|Drama,5.886776926279813e-05
cat__director_name_Paul Weitz,5.827622335786824e-05
cat__actor_1_name_Alexa PenaVega,5.8129599755090845e-05
cat__actor_1_name_Tom Hanks,5.753062257060914e-05
cat__actor_1_name_Salma Hayek,5.750027948509961e-05
cat__director_name_Raja Gosnell,5.685113958066157e-05
cat__actor_1_name_Michael Biehn,5.605950783073772e-05
cat__actor_1_name_Scarlett Johansson,5.475340394317717e-05
cat__country_Spain,5.443505986225941e-05
cat__actor_1_name_Amy Poehler,5.442560403276468e-05
cat__actor_1_name_Keanu Reeves,5.4314938775040305e-05
cat__content_rating_TV-G,5.329544400493393e-05
