model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std
SVM RBF,0.7545896482699457,0.02183523382005936,0.5224784975627959,0.03169985722497896,0.7662193130186524,0.021256785084859217
Logistic Regression,0.7508641815872898,0.007635501256843843,0.5140169168477287,0.016750245380484564,0.7645940896388466,0.005328752567316918
Gradient Boosting,0.7910316369484135,0.02057623364476925,0.4855059753601726,0.011860230017745662,0.7786181860070461,0.018009473923390976
KNN,0.7543359746141854,0.008336698815628527,0.4638856533144845,0.005108879777504616,0.7494332441385488,0.007080211476703648
Decision Tree,0.7208756507113625,0.00958911245368175,0.43803444541670994,0.010718048806649332,0.7184355316581432,0.011967640652628387
Random Forest,0.7796246244861187,0.010289876728941012,0.43606489509892155,0.010362360977550724,0.7395150800732455,0.011394915123831891
Extra Trees,0.7669815294830284,0.010611485299568875,0.42324163220222033,0.010443217022890056,0.7251242240397651,0.012065279617651579
Baseline Most Frequent,0.7117006589365386,0.0005317913162782507,0.2771904299640988,0.00012098212311533829,0.5918300279807807,0.000700636267500135
